 -91.20	-106.20	 -84.60
 -90.75	 -97.50	 -79.05
 -89.55	 -98.40	 -77.40
-106.05	-105.00	 -75.90
-111.45	-111.00	 -75.75
-111.60	-116.40	 -74.10
-111.30	-115.95	 -80.40
-109.95	-114.30	 -86.40
-123.00	-110.85	 -91.05
-135.75	-130.50	 -78.60
-147.45	-141.30	 -76.80
-153.60	-145.80	 -78.15
-157.65	-148.35	 -83.25
-163.65	-145.20	 -90.15
-166.80	-146.25	 -99.45
-186.30	-132.90	-103.20
-186.45	-146.70	 -84.90
-171.90	-158.40	 -65.25
-168.75	-162.60	 -51.00
-160.05	-159.30	 -40.05
-166.50	-166.80	 -40.95
-189.00	-173.55	 -48.15
-178.35	-168.15	 -49.20
-166.95	-158.10	 -47.10
-161.85	-164.40	 -46.65
-166.05	-163.05	 -48.00
-167.85	-158.70	 -48.30
-167.40	-159.30	 -44.40
-167.10	-164.25	 -49.05
-169.50	-165.90	 -45.15
-164.40	-164.10	 -40.05
-171.90	-165.75	 -37.20
-175.20	-170.55	 -40.65
-175.20	-170.85	 -40.20
-171.45	-164.10	 -39.00
-165.15	-167.40	 -33.75
-148.35	-156.15	 -34.65
-156.90	-166.80	 -25.50
-147.60	-169.05	 -27.00
-153.60	-167.55	 -22.50
-151.05	-156.15	 -24.45
-151.05	-157.95	 -15.90
-166.80	-166.80	  -6.30
-177.30	-182.85	  -6.90
-185.25	-201.75	  -6.00
-196.35	-213.75	  -8.70
-199.20	-200.25	 -18.90
-187.35	-197.40	 -10.35
-190.95	-204.45	 -12.75
-193.65	-205.05	  -7.50
-195.30	-206.40	  -6.15
-188.40	-194.25	  -4.65
-190.05	-197.40	 -11.85
-184.95	-186.90	 -24.90
-187.35	-187.80	 -27.00
-190.05	-188.55	 -29.25
-188.10	-188.10	 -27.75
-187.20	-187.20	 -23.10
-191.85	-190.05	 -17.40
-180.75	-191.10	  -6.00
-181.35	-177.30	   2.10
-167.70	-164.40	   7.95
-138.60	-155.25	  18.30
-144.75	-153.15	  19.95
-165.45	-154.80	  13.20
-142.20	-160.95	   4.20
-136.80	-154.05	  -5.40
-129.15	-150.45	 -17.25
-126.75	-136.65	 -18.90
-105.60	-132.00	 -15.75
-109.20	-135.00	 -23.10
-103.20	-134.40	 -13.35
-104.55	-136.95	 -15.15
-106.95	-142.35	 -20.55
-107.40	-145.20	 -23.10
-109.95	-149.25	 -28.65
-100.05	-160.80	 -34.95
-138.45	-162.75	 -46.05
-165.90	-160.80	 -54.75
-196.20	-165.75	 -58.20
-194.40	-176.40	 -54.60
-196.65	-165.00	 -45.30
-190.95	-175.05	 -42.30
-200.40	-174.30	 -39.30
-202.35	-169.20	 -38.55
-199.35	-161.40	 -38.25
-189.60	-162.00	 -39.15
-170.25	-147.45	 -33.75
-135.45	-134.85	 -22.95
-102.00	-114.15	 -10.80
 -95.85	-115.35	 -14.40
 -99.90	-101.25	 -20.40
-102.90	 -98.10	 -15.45
 -93.00	-108.90	  -9.15
-103.35	-113.25	  -6.90
-102.75	-128.10	 -13.05
 -84.00	-126.30	 -17.40
 -76.95	-122.25	 -13.05
 -82.50	-118.20	 -15.15
 -70.65	-118.80	 -13.50
 -68.55	-114.60	 -13.35
 -57.00	-108.15	 -15.45
 -55.05	-112.50	 -17.55
 -69.45	-106.95	 -18.75
 -99.30	-123.15	 -32.25
 -85.50	-119.40	 -32.55
 -54.90	-104.55	 -22.95
  -4.20	 -67.50	 -12.60
  27.30	 -37.95	  -4.20
  36.60	 -37.95	  -2.25
  47.25	 -35.10	  -2.25
  54.90	 -26.55	   0.45
  50.40	 -21.30	   1.80
  46.65	 -28.20	   0.30
  47.40	 -30.15	  -2.85
  48.45	 -32.70	  -5.85
  51.00	 -33.00	  -6.60
  47.55	 -36.15	  -3.45
  12.30	 -57.90	 -12.30
 -12.00	 -73.95	 -15.45
 -26.55	 -81.00	 -18.90
 -48.45	 -88.20	 -27.45
 -58.05	 -91.20	 -28.95
 -59.10	 -93.00	 -31.95
 -56.85	 -96.90	 -29.25
 -54.45	 -93.45	 -27.15
 -56.55	 -91.50	 -30.90
 -47.40	 -86.40	 -30.90
 -14.70	 -69.90	 -20.85
  -4.95	 -64.80	 -17.40
  -7.80	 -63.00	 -18.45
   1.20	 -63.45	   6.00
  17.25	 -55.05	  20.10
  17.25	 -43.65	  24.60
  16.65	 -36.90	  32.55
  10.05	 -35.85	  38.40
   1.35	 -22.80	  42.60
  -9.75	 -14.40	  44.70
 -16.80	  -5.85	  45.15
  -6.90	   0.30	  37.05
 -15.00	   6.15	  28.65
 -24.15	  10.20	  24.60
 -37.20	   8.55	  22.20
 -36.75	   2.55	  15.45
 -19.20	  -4.20	  -0.15
 -15.90	   5.70	  10.80
  -8.25	  15.15	  13.35
 -16.35	  16.35	   5.25
 -50.40	  -7.95	  39.00
 -58.20	 -26.55	  24.45
