Info:TIM: 6625
Info: Gravity RAW data:
x	y	z	
Info:ACC: 9.346008	1.386499	2.180237	
Info:ACC: 9.499133	1.232776	2.027710	
Info:ACC: 9.651660	1.232178	1.722656	
Info:ACC: 9.957312	1.077856	1.417004	
Info:ACC: 10.110437	1.077258	1.570728	
Info:ACC: 10.262964	0.924731	1.418799	
Info:ACC: 10.569214	0.923535	1.266870	
Info:ACC: 10.875463	0.770410	1.114941	
Info:ACC: 10.874268	0.463562	0.960022	
Info:ACC: 9.954920	0.617285	1.720862	
Info:ACC: 8.884241	0.927722	2.637219	
Info:ACC: 8.578588	0.929517	2.788550	
Info:ACC: 7.965491	0.623865	3.092407	
Info:ACC: 7.504920	0.471936	3.550586	
Info:ACC: 7.352393	0.933704	4.315613	
Info:ACC: 7.201062	1.243542	4.927515	
Info:ACC: 6.895410	1.091614	5.231372	
Info:ACC: 5.975464	0.786560	5.686560	
Info:ACC: 4.749866	0.788355	5.988623	
Info:ACC: 3.984839	1.095801	6.292480	
GDB->counter = 1
Info:ACC: 2.913562	0.944470	6.747668	
Info:ACC: 2.299866	0.639417	7.357776	
Info:ACC: 1.839294	0.490479	8.274732	
Info:ACC: 1.227393	0.798523	8.272937	
Info:ACC: 0.921741	0.644202	7.966687	
Info:ACC: 0.921143	0.490479	7.966687	
Info:ACC: 1.073669	0.337354	8.272937	
Info:ACC: 0.919348	0.032898	8.731115	
Info:ACC: 0.765027	-0.271558	8.883044	
Info:ACC: 0.610706	-0.578406	8.577991	
Info:ACC: 1.068884	-0.733325	8.119812	
Info:ACC: 1.527661	-0.887048	8.428454	
Info:ACC: 2.140161	-1.037781	9.042749	
Info:ACC: 2.445215	-1.035986	9.195874	
Info:ACC: 2.138965	-1.648486	8.734705	
Info:ACC: 1.371545	-1.804004	8.885437	
Info:ACC: 1.367957	-3.026013	9.652857	
Info:ACC: 1.978064	-3.023022	10.573400	
Info:ACC: 2.285510	-2.715576	10.267749	
Info:ACC: 2.132385	-3.482996	9.807178	
Info:ACC: 1.823145	-3.330469	10.265356	
Info:ACC: 1.670618	-3.478809	11.491552	
Info:ACC: 2.127600	-4.547693	11.952124	
Info:ACC: 2.585181	-4.700220	11.801392	
Info:ACC: 2.889636	-5.161389	11.188293	
Info:ACC: 2.582190	-5.315711	11.188293	
Info:ACC: 3.041565	-5.315711	11.036963	
info: :set_lcd_on:6636116:294: set lcd?
info: :get_service_queue:6636120:133: get sema for service queue
info: :show_step:6636234:351: show_step 410.
Info:TIM: 6629
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 3.194092	-5.623157	10.578186	
Info:ACC: 3.499744	-5.473022	9.813757	
Info:ACC: 3.807190	-5.321692	9.508105	
Info:ACC: 3.806592	-5.628540	9.508105	
Info:ACC: 3.652869	-5.476013	9.354980	
Info:ACC: 3.959717	-5.476611	8.896802	
Info:ACC: 4.113440	-5.173352	8.284302	
Info:ACC: 3.960913	-5.174548	8.130579	
Info:ACC: 3.961511	-5.020825	8.283106	
Info:ACC: 3.808386	-5.020825	8.283106	
Info:ACC: 3.961511	-5.021423	8.131775	
Info:ACC: 4.421484	-4.869494	7.673596	
Info:ACC: 4.575208	-4.717566	7.519873	
Info:ACC: 4.268958	-4.870691	7.365552	
Info:ACC: 3.962109	-5.024414	7.364954	
Info:ACC: 4.114636	-5.025012	7.365552	
Info:ACC: 4.114636	-5.024414	7.213025	
Info:ACC: 4.420886	-5.025012	7.214221	
Info:ACC: 4.727735	-4.872485	7.062293	
Info:ACC: 4.880859	-4.872485	7.062293	
Info:ACC: 4.880859	-4.872485	7.061694	
Info:ACC: 4.727735	-4.873084	6.908569	
Info:ACC: 4.727735	-4.719958	6.755445	
Info:ACC: 4.727735	-4.873682	6.909167	
Info:ACC: 4.880859	-4.719958	6.909167	
Info:ACC: 4.881457	-4.719958	6.756042	
GDB->counter = 1
Info:ACC: 5.034583	-4.720557	6.604114	
Info:ACC: 5.034583	-4.874280	6.449792	
Info:ACC: 4.727735	-4.874280	6.602319	
Info:ACC: 4.574011	-5.027405	6.601721	
Info:ACC: 4.420886	-5.027405	6.601721	
Info:ACC: 4.726538	-5.180530	6.602319	
Info:ACC: 4.879663	-5.333655	6.603516	
Info:ACC: 5.032190	-5.333655	6.603516	
Info:ACC: 4.878467	-5.486780	6.449792	
Info:ACC: 4.724744	-5.793030	6.602918	
Info:ACC: 5.030396	-5.793030	6.756640	
Info:ACC: 5.182922	-6.097486	7.064087	
Info:ACC: 5.487976	-6.403137	7.217810	
Info:ACC: 5.181726	-6.250610	7.062891	
Info:ACC: 4.876074	-6.098083	6.908569	
